date,World Cup Qualif,Team_home,Team_away,Goals_home,Goals_away
1996-04-24,1998,Venezuela,Uruguay,0.0,2.0
1996-04-24,1998,Ecuador,Peru,4.0,1.0
1996-04-24,1998,Colombia,Paraguay,1.0,0.0
1996-04-24,1998,Argentina,Bolivia,3.0,1.0
1996-06-02,1998,Ecuador,Argentina,2.0,0.0
1996-06-02,1998,Uruguay,Paraguay,0.0,2.0
1996-06-02,1998,Venezuela,Chile,1.0,1.0
1996-06-02,1998,Peru,Colombia,1.0,1.0
1996-07-06,1998,Chile,Ecuador,4.0,1.0
1996-07-07,1998,Colombia,Uruguay,3.0,1.0
1996-07-07,1998,Peru,Argentina,0.0,0.0
1996-07-07,1998,Bolivia,Venezuela,6.0,1.0
1996-09-01,1998,Ecuador,Venezuela,1.0,0.0
1996-09-01,1998,Bolivia,Peru,0.0,0.0
1996-09-01,1998,Colombia,Chile,4.0,1.0
1996-09-01,1998,Argentina,Paraguay,1.0,1.0
1996-10-08,1998,Uruguay,Bolivia,1.0,0.0
1996-10-09,1998,Ecuador,Colombia,0.0,1.0
1996-10-09,1998,Venezuela,Argentina,2.0,5.0
1996-10-09,1998,Paraguay,Chile,2.0,1.0
1996-11-10,1998,Bolivia,Colombia,2.0,2.0
1996-11-10,1998,Peru,Venezuela,4.0,1.0
1996-11-10,1998,Paraguay,Ecuador,1.0,0.0
1996-11-12,1998,Chile,Uruguay,1.0,0.0
1996-12-15,1998,Bolivia,Paraguay,0.0,0.0
1996-12-15,1998,Venezuela,Colombia,0.0,2.0
1996-12-15,1998,Argentina,Chile,1.0,1.0
1996-12-15,1998,Uruguay,Peru,2.0,0.0
1997-01-12,1998,Venezuela,Paraguay,0.0,2.0
1997-01-12,1998,Bolivia,Ecuador,2.0,0.0
1997-01-12,1998,Uruguay,Argentina,0.0,0.0
1997-01-12,1998,Peru,Chile,2.0,1.0
1997-02-11,1998,Ecuador,Uruguay,4.0,0.0
1997-02-12,1998,Bolivia,Chile,1.0,1.0
1997-02-12,1998,Colombia,Argentina,0.0,1.0
1997-02-12,1998,Paraguay,Peru,2.0,1.0
1997-04-02,1998,Bolivia,Argentina,2.0,1.0
1997-04-02,1998,Peru,Ecuador,1.0,1.0
1997-04-02,1998,Uruguay,Venezuela,3.0,1.0
1997-04-02,1998,Paraguay,Colombia,2.0,1.0
1997-04-29,1998,Chile,Venezuela,6.0,0.0
1997-04-30,1998,Argentina,Ecuador,2.0,1.0
1997-04-30,1998,Paraguay,Uruguay,3.0,1.0
1997-04-30,1998,Colombia,Peru,0.0,1.0
1997-06-08,1998,Ecuador,Chile,1.0,1.0
1997-06-08,1998,Argentina,Peru,2.0,0.0
1997-06-08,1998,Uruguay,Colombia,1.0,1.0
1997-06-08,1998,Venezuela,Bolivia,1.0,1.0
1997-07-05,1998,Chile,Colombia,4.0,1.0
1997-07-06,1998,Paraguay,Argentina,1.0,2.0
1997-07-06,1998,Peru,Bolivia,2.0,1.0
1997-07-06,1998,Venezuela,Ecuador,1.0,1.0
1997-07-20,1998,Argentina,Venezuela,2.0,0.0
1997-07-20,1998,Bolivia,Uruguay,1.0,0.0
1997-07-20,1998,Colombia,Ecuador,1.0,0.0
1997-07-20,1998,Chile,Paraguay,2.0,1.0
1997-08-20,1998,Uruguay,Chile,1.0,0.0
1997-08-20,1998,Colombia,Bolivia,3.0,0.0
1997-08-20,1998,Ecuador,Paraguay,2.0,1.0
1997-08-20,1998,Venezuela,Peru,0.0,3.0
1997-09-10,1998,Chile,Argentina,1.0,2.0
1997-09-10,1998,Peru,Uruguay,2.0,1.0
1997-09-10,1998,Colombia,Venezuela,1.0,0.0
1997-09-10,1998,Paraguay,Bolivia,2.0,1.0
1997-10-12,1998,Argentina,Uruguay,0.0,0.0
1997-10-12,1998,Chile,Peru,4.0,0.0
1997-10-12,1998,Paraguay,Venezuela,1.0,0.0
1997-10-12,1998,Ecuador,Bolivia,1.0,0.0
1997-11-16,1998,Argentina,Colombia,1.0,1.0
1997-11-16,1998,Uruguay,Ecuador,5.0,3.0
1997-11-16,1998,Peru,Paraguay,1.0,0.0
1997-11-16,1998,Chile,Bolivia,3.0,0.0
2000-03-28,2002,Colombia,Brazil,0.0,0.0
2000-03-29,2002,Ecuador,Venezuela,2.0,0.0
2000-03-29,2002,Uruguay,Bolivia,1.0,0.0
2000-03-29,2002,Peru,Paraguay,2.0,0.0
2000-03-29,2002,Argentina,Chile,4.0,1.0
2000-04-26,2002,Bolivia,Colombia,1.0,1.0
2000-04-26,2002,Venezuela,Argentina,0.0,4.0
2000-04-26,2002,Paraguay,Uruguay,1.0,0.0
2000-04-26,2002,Chile,Peru,1.0,1.0
2000-04-26,2002,Brazil,Ecuador,3.0,2.0
2000-06-03,2002,Uruguay,Chile,2.0,1.0
2000-06-03,2002,Paraguay,Ecuador,3.0,1.0
2000-06-04,2002,Argentina,Bolivia,1.0,0.0
2000-06-04,2002,Peru,Brazil,0.0,1.0
2000-06-04,2002,Colombia,Venezuela,3.0,0.0
2000-06-28,2002,Venezuela,Bolivia,4.0,2.0
2000-06-28,2002,Brazil,Uruguay,1.0,1.0
2000-06-29,2002,Ecuador,Peru,2.0,1.0
2000-06-29,2002,Chile,Paraguay,3.0,1.0
2000-06-29,2002,Colombia,Argentina,1.0,3.0
2000-07-18,2002,Uruguay,Venezuela,3.0,1.0
2000-07-18,2002,Paraguay,Brazil,2.0,1.0
2000-07-19,2002,Bolivia,Chile,1.0,0.0
2000-07-19,2002,Argentina,Ecuador,2.0,0.0
2000-07-19,2002,Peru,Colombia,0.0,1.0
2000-07-25,2002,Ecuador,Colombia,0.0,0.0
2000-07-25,2002,Venezuela,Chile,0.0,2.0
2000-07-26,2002,Uruguay,Peru,0.0,0.0
2000-07-26,2002,Brazil,Argentina,3.0,1.0
2000-07-27,2002,Bolivia,Paraguay,0.0,0.0
2000-08-15,2002,Colombia,Uruguay,1.0,0.0
2000-08-15,2002,Chile,Brazil,3.0,0.0
2000-08-16,2002,Ecuador,Bolivia,2.0,0.0
2000-08-16,2002,Argentina,Paraguay,1.0,1.0
2000-08-16,2002,Peru,Venezuela,1.0,0.0
2000-09-02,2002,Paraguay,Venezuela,3.0,0.0
2000-09-02,2002,Chile,Colombia,0.0,1.0
2000-09-03,2002,Uruguay,Ecuador,4.0,0.0
2000-09-03,2002,Peru,Argentina,1.0,2.0
2000-09-03,2002,Brazil,Bolivia,5.0,0.0
2000-10-07,2002,Colombia,Paraguay,0.0,2.0
2000-10-08,2002,Venezuela,Brazil,0.0,6.0
2000-10-08,2002,Ecuador,Chile,1.0,0.0
2000-10-08,2002,Bolivia,Peru,1.0,0.0
2000-10-08,2002,Argentina,Uruguay,2.0,1.0
2000-11-15,2002,Bolivia,Uruguay,0.0,0.0
2000-11-15,2002,Brazil,Colombia,1.0,0.0
2000-11-15,2002,Paraguay,Peru,5.0,1.0
2000-11-15,2002,Venezuela,Ecuador,1.0,2.0
2000-11-15,2002,Chile,Argentina,0.0,2.0
2001-03-27,2002,Colombia,Bolivia,2.0,0.0
2001-03-27,2002,Peru,Chile,3.0,1.0
2001-03-28,2002,Ecuador,Brazil,1.0,0.0
2001-03-28,2002,Uruguay,Paraguay,0.0,1.0
2001-03-28,2002,Argentina,Venezuela,5.0,0.0
2001-04-24,2002,Ecuador,Paraguay,2.0,1.0
2001-04-24,2002,Venezuela,Colombia,2.0,2.0
2001-04-24,2002,Chile,Uruguay,0.0,1.0
2001-04-25,2002,Bolivia,Argentina,3.0,3.0
2001-04-25,2002,Brazil,Peru,1.0,1.0
2001-06-02,2002,Peru,Ecuador,1.0,2.0
2001-06-02,2002,Paraguay,Chile,1.0,0.0
2001-06-03,2002,Argentina,Colombia,3.0,0.0
2001-06-03,2002,Bolivia,Venezuela,5.0,0.0
2001-07-01,2002,Uruguay,Brazil,1.0,0.0
2001-08-14,2002,Venezuela,Uruguay,2.0,0.0
2001-08-14,2002,Chile,Bolivia,2.0,2.0
2001-08-15,2002,Ecuador,Argentina,0.0,2.0
2001-08-15,2002,Brazil,Paraguay,2.0,0.0
2001-08-16,2002,Colombia,Peru,0.0,1.0
2001-09-04,2002,Chile,Venezuela,0.0,2.0
2001-09-04,2002,Peru,Uruguay,0.0,2.0
2001-09-05,2002,Paraguay,Bolivia,5.0,1.0
2001-09-05,2002,Argentina,Brazil,2.0,1.0
2001-09-05,2002,Colombia,Ecuador,0.0,0.0
2001-10-06,2002,Bolivia,Ecuador,1.0,5.0
2001-10-06,2002,Venezuela,Peru,3.0,0.0
2001-10-07,2002,Uruguay,Colombia,1.0,1.0
2001-10-07,2002,Brazil,Chile,2.0,0.0
2001-10-07,2002,Paraguay,Argentina,2.0,2.0
2001-11-07,2002,Colombia,Chile,3.0,1.0
2001-11-07,2002,Ecuador,Uruguay,1.0,1.0
2001-11-07,2002,Bolivia,Brazil,3.0,1.0
2001-11-08,2002,Argentina,Peru,2.0,0.0
2001-11-08,2002,Venezuela,Paraguay,3.0,1.0
2001-11-14,2002,Peru,Bolivia,1.0,1.0
2001-11-14,2002,Uruguay,Argentina,1.0,1.0
2001-11-14,2002,Chile,Ecuador,0.0,0.0
2001-11-14,2002,Paraguay,Colombia,0.0,4.0
2001-11-14,2002,Brazil,Venezuela,3.0,0.0
2003-09-06,2006,Ecuador,Venezuela,2.0,0.0
2003-09-06,2006,Argentina,Chile,2.0,2.0
2003-09-06,2006,Peru,Paraguay,4.0,1.0
2003-09-07,2006,Uruguay,Bolivia,5.0,0.0
2003-09-07,2006,Colombia,Brazil,1.0,2.0
2003-09-09,2006,Venezuela,Argentina,0.0,3.0
2003-09-09,2006,Chile,Peru,2.0,1.0
2003-09-10,2006,Bolivia,Colombia,4.0,0.0
2003-09-10,2006,Paraguay,Uruguay,4.0,1.0
2003-09-10,2006,Brazil,Ecuador,1.0,0.0
2003-11-15,2006,Uruguay,Chile,2.0,1.0
2003-11-15,2006,Colombia,Venezuela,0.0,1.0
2003-11-15,2006,Paraguay,Ecuador,2.0,1.0
2003-11-15,2006,Argentina,Bolivia,3.0,0.0
2003-11-16,2006,Peru,Brazil,1.0,1.0
2003-11-18,2006,Venezuela,Bolivia,2.0,1.0
2003-11-18,2006,Chile,Paraguay,0.0,1.0
2003-11-19,2006,Ecuador,Peru,0.0,0.0
2003-11-19,2006,Colombia,Argentina,1.0,1.0
2003-11-19,2006,Brazil,Uruguay,3.0,3.0
2004-03-30,2006,Bolivia,Chile,0.0,2.0
2004-03-30,2006,Argentina,Ecuador,1.0,0.0
2004-03-31,2006,Uruguay,Venezuela,0.0,3.0
2004-03-31,2006,Peru,Colombia,0.0,2.0
2004-03-31,2006,Paraguay,Brazil,0.0,0.0
2004-06-01,2006,Bolivia,Paraguay,2.0,1.0
2004-06-01,2006,Venezuela,Chile,0.0,1.0
2004-06-01,2006,Uruguay,Peru,1.0,3.0
2004-06-02,2006,Ecuador,Colombia,2.0,1.0
2004-06-02,2006,Brazil,Argentina,3.0,1.0
2004-06-05,2006,Ecuador,Bolivia,3.0,2.0
2004-06-06,2006,Peru,Venezuela,0.0,0.0
2004-06-06,2006,Argentina,Paraguay,0.0,0.0
2004-06-06,2006,Colombia,Uruguay,5.0,0.0
2004-06-06,2006,Chile,Brazil,1.0,1.0
2004-09-04,2006,Peru,Argentina,1.0,3.0
2004-09-05,2006,Uruguay,Ecuador,1.0,0.0
2004-09-05,2006,Brazil,Bolivia,3.0,1.0
2004-09-05,2006,Paraguay,Venezuela,1.0,0.0
2004-09-05,2006,Chile,Colombia,0.0,0.0
2004-10-09,2006,Argentina,Uruguay,4.0,2.0
2004-10-09,2006,Bolivia,Peru,1.0,0.0
2004-10-09,2006,Colombia,Paraguay,1.0,1.0
2004-10-09,2006,Venezuela,Brazil,2.0,5.0
2004-10-10,2006,Ecuador,Chile,2.0,0.0
2004-10-12,2006,Bolivia,Uruguay,0.0,0.0
2004-10-13,2006,Paraguay,Peru,1.0,1.0
2004-10-13,2006,Chile,Argentina,0.0,0.0
2004-10-13,2006,Brazil,Colombia,0.0,0.0
2004-10-14,2006,Venezuela,Ecuador,3.0,1.0
2004-11-17,2006,Ecuador,Brazil,1.0,0.0
2004-11-17,2006,Colombia,Bolivia,1.0,0.0
2004-11-17,2006,Peru,Chile,2.0,1.0
2004-11-17,2006,Uruguay,Paraguay,1.0,0.0
2004-11-17,2006,Argentina,Venezuela,3.0,2.0
2005-03-26,2006,Bolivia,Argentina,1.0,2.0
2005-03-26,2006,Venezuela,Colombia,0.0,0.0
2005-03-26,2006,Chile,Uruguay,1.0,1.0
2005-03-27,2006,Brazil,Peru,1.0,0.0
2005-03-27,2006,Ecuador,Paraguay,5.0,2.0
2005-03-29,2006,Bolivia,Venezuela,3.0,1.0
2005-03-30,2006,Paraguay,Chile,2.0,1.0
2005-03-30,2006,Argentina,Colombia,1.0,0.0
2005-03-30,2006,Peru,Ecuador,2.0,2.0
2005-03-30,2006,Uruguay,Brazil,1.0,1.0
2005-06-04,2006,Colombia,Peru,5.0,0.0
2005-06-04,2006,Ecuador,Argentina,2.0,0.0
2005-06-04,2006,Venezuela,Uruguay,1.0,1.0
2005-06-04,2006,Chile,Bolivia,3.0,1.0
2005-06-05,2006,Brazil,Paraguay,4.0,1.0
2005-06-07,2006,Peru,Uruguay,0.0,0.0
2005-06-08,2006,Colombia,Ecuador,3.0,0.0
2005-06-08,2006,Chile,Venezuela,2.0,1.0
2005-06-08,2006,Paraguay,Bolivia,4.0,1.0
2005-06-08,2006,Argentina,Brazil,3.0,1.0
2005-09-03,2006,Bolivia,Ecuador,1.0,2.0
2005-09-03,2006,Paraguay,Argentina,1.0,0.0
2005-09-03,2006,Venezuela,Peru,4.0,1.0
2005-09-04,2006,Brazil,Chile,5.0,0.0
2005-09-04,2006,Uruguay,Colombia,3.0,2.0
2005-10-08,2006,Ecuador,Uruguay,0.0,0.0
2005-10-08,2006,Colombia,Chile,1.0,1.0
2005-10-08,2006,Venezuela,Paraguay,0.0,1.0
2005-10-09,2006,Bolivia,Brazil,1.0,1.0
2005-10-09,2006,Argentina,Peru,2.0,0.0
2005-10-12,2006,Peru,Bolivia,4.0,1.0
2005-10-12,2006,Paraguay,Colombia,0.0,1.0
2005-10-12,2006,Brazil,Venezuela,3.0,0.0
2005-10-12,2006,Chile,Ecuador,0.0,0.0
2005-10-12,2006,Uruguay,Argentina,1.0,0.0
2007-10-13,2010,Uruguay,Bolivia,5.0,0.0
2007-10-13,2010,Argentina,Chile,2.0,0.0
2007-10-13,2010,Ecuador,Venezuela,0.0,1.0
2007-10-13,2010,Peru,Paraguay,0.0,0.0
2007-10-14,2010,Colombia,Brazil,0.0,0.0
2007-10-16,2010,Venezuela,Argentina,0.0,2.0
2007-10-17,2010,Bolivia,Colombia,0.0,0.0
2007-10-17,2010,Chile,Peru,2.0,0.0
2007-10-17,2010,Paraguay,Uruguay,1.0,0.0
2007-10-17,2010,Brazil,Ecuador,5.0,0.0
2007-11-17,2010,Argentina,Bolivia,3.0,0.0
2007-11-17,2010,Colombia,Venezuela,1.0,0.0
2007-11-17,2010,Paraguay,Ecuador,5.0,1.0
2007-11-18,2010,Uruguay,Chile,2.0,2.0
2007-11-18,2010,Peru,Brazil,1.0,1.0
2007-11-20,2010,Venezuela,Bolivia,5.0,3.0
2007-11-20,2010,Colombia,Argentina,2.0,1.0
2007-11-21,2010,Ecuador,Peru,5.0,1.0
2007-11-21,2010,Brazil,Uruguay,2.0,1.0
2007-11-21,2010,Chile,Paraguay,0.0,3.0
2008-06-14,2010,Uruguay,Venezuela,1.0,1.0
2008-06-14,2010,Peru,Colombia,1.0,1.0
2008-06-15,2010,Paraguay,Brazil,2.0,0.0
2008-06-15,2010,Argentina,Ecuador,1.0,1.0
2008-06-15,2010,Bolivia,Chile,0.0,2.0
2008-06-17,2010,Uruguay,Peru,6.0,0.0
2008-06-18,2010,Bolivia,Paraguay,4.0,2.0
2008-06-18,2010,Ecuador,Colombia,0.0,0.0
2008-06-18,2010,Brazil,Argentina,0.0,0.0
2008-06-19,2010,Venezuela,Chile,2.0,3.0
2008-09-06,2010,Argentina,Paraguay,1.0,1.0
2008-09-06,2010,Ecuador,Bolivia,3.0,1.0
2008-09-06,2010,Colombia,Uruguay,0.0,1.0
2008-09-06,2010,Peru,Venezuela,1.0,0.0
2008-09-07,2010,Chile,Brazil,0.0,3.0
2008-09-09,2010,Paraguay,Venezuela,2.0,0.0
2008-09-10,2010,Uruguay,Ecuador,0.0,0.0
2008-09-10,2010,Chile,Colombia,4.0,0.0
2008-09-10,2010,Brazil,Bolivia,0.0,0.0
2008-09-10,2010,Peru,Argentina,1.0,1.0
2008-10-11,2010,Bolivia,Peru,3.0,0.0
2008-10-11,2010,Argentina,Uruguay,2.0,1.0
2008-10-11,2010,Colombia,Paraguay,0.0,1.0
